"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"SalesField14",39,0.812678,0.001735,149,0.815617956385074,15
"SalesField15",40,0.812869,0.001653,145,0.815585409527681,15
"PersonalField1",41,0.820438,0.002247,147,0.821743806208898,15
"PersonalField2",42,0.820699,0.001977,149,0.824184030251951,15
"PersonalField4A",43,0.839978,0.002959,150,0.840910333324401,18
"PersonalField4B",44,0.840186,0.003106,150,0.840550737755746,18
"PersonalField5",45,0.815246,0.002645,149,0.817708151476641,16
"PersonalField6",46,0.81455,0.00276,147,0.817038702468591,15
"PersonalField7",47,0.812363,0.002066,147,0.814895289755377,14
"PersonalField8",48,0.812226,0.002157,147,0.814911782101342,14
"PersonalField9",49,0.81582,0.002748,53,0.819961544331277,14
"PersonalField10B",50,0.812253,0.001953,47,0.812269153764364,15
"PersonalField11",51,0.814229,0.002133,149,0.816728278745374,15
"PersonalField12",52,0.815562,0.002473,107,0.819627673228653,15
"PersonalField13",53,0.818394,0.002192,150,0.820768364070106,14
"PersonalField14",54,0.817029,0.001208,149,0.818496823157039,17
"PersonalField15",55,0.830391,0.001942,150,0.831093975026058,17
"PersonalField16",56,0.831097,0.001204,149,0.832617698211919,17
"PersonalField17",57,0.828712,0.002537,150,0.830254012504448,17
"PersonalField18",58,0.828735,0.002027,149,0.830338392531788,17
"PersonalField19",59,0.82768,0.002284,149,0.829393884145335,17
"PersonalField22",60,0.823082,0.001492,150,0.82621415390513,15
"PersonalField23",61,0.819309,0.0017,147,0.822772519180405,15
"PersonalField24",62,0.821443,0.001942,149,0.824805318424828,15
"PersonalField25",63,0.823035,0.001438,149,0.826199167856498,15
"PersonalField26",64,0.825964,0.001665,149,0.829181634068934,15
"PersonalField27",65,0.82917,0.001746,149,0.83108047464583,16
"PersonalField28",66,0.824711,0.001916,147,0.827253329984604,16
"PersonalField29",67,0.820732,0.001835,144,0.823008127565515,15
"PersonalField30",68,0.813749,0.001957,149,0.816799045993747,15
"PersonalField31",69,0.816757,0.00217,143,0.819519045149588,15
"PersonalField32",70,0.820431,0.001916,149,0.822859660784987,15
"PersonalField33",71,0.82122,0.002267,149,0.823257587408217,15
"PersonalField34",72,0.812748,0.00222,143,0.815365578995011,15
"PersonalField35",73,0.812704,0.002169,143,0.815255842159263,15
"PersonalField36",74,0.812651,0.0022,147,0.815369776885465,15
"PersonalField37",75,0.812733,0.002231,147,0.815384262056014,15
"PersonalField38",76,0.812963,0.002249,139,0.815459120965502,15
"PersonalField39",77,0.812589,0.002143,149,0.815158455303618,14
"PersonalField40",78,0.812751,0.002188,149,0.815282949149059,15
"PersonalField41",79,0.812803,0.002287,147,0.815404793237616,14
"PersonalField42",80,0.813017,0.002363,147,0.815651948616985,14
"PersonalField43",81,0.812798,0.002282,149,0.815398923440023,15
"PersonalField44",82,0.814326,0.001856,149,0.817261620207096,15
"PersonalField45",83,0.816906,0.002203,147,0.819523560571299,15
"PersonalField46",84,0.820386,0.002096,149,0.822676563625336,16
"PersonalField47",85,0.821097,0.002342,143,0.823257567743258,15
"PersonalField48",86,0.820919,0.001976,143,0.82298549763148,16
"PersonalField49",87,0.812656,0.00241,143,0.815499334457957,14
"PersonalField50",88,0.812848,0.002439,143,0.815506587936076,14
"PersonalField51",89,0.812944,0.002399,143,0.81559556127379,14
"PersonalField52",90,0.813169,0.002456,146,0.815690397275729,14
"PersonalField53",91,0.812936,0.0024,144,0.815588446799942,14
"PersonalField54",92,0.813563,0.001926,149,0.816475895957086,14
"PersonalField55",93,0.81412,0.002116,143,0.816906335313221,15
"PersonalField56",94,0.814543,0.001924,143,0.817183532002802,14
"PersonalField57",95,0.815523,0.001854,147,0.817927423871492,15
