SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs,Avg_AUC,Max_Diff,MissingValues,UniqueCount
GeographicField22B,207,0.942171,4.70E-05,121,0.942159375,24,0.942165,0.005530,2,11
PersonalField4B,41,0.94221,0.000182,116,0.942120105,25,0.942165,0.005530,24526,25
PersonalField41,76,0.942111,2.60E-05,128,0.942216212,23,0.942164,0.005532,0,10
Field6,1,0.942125,9.50E-05,102,0.942194688,23,0.942160,0.005535,0,8
PersonalField52,87,0.942124,5.80E-05,130,0.942184442,23,0.942154,0.005541,0,7
Field11,5,0.942194,2.50E-05,103,0.942113352,23,0.942154,0.005542,0,11
GeographicField44B,251,0.94226,0.00019,113,0.94204229,25,0.942151,0.005544,2,25
GeographicField55B,273,0.942054,0.000188,114,0.942237013,26,0.942146,0.005550,1553,25
PersonalField50,85,0.942095,4.20E-05,129,0.942177989,23,0.942136,0.005559,0,7
year,290,0.942126,3.20E-05,139,0.942142897,23,0.942134,0.005561,0,3
GeographicField30B,223,0.942163,0.00018,106,0.942101267,25,0.942132,0.005563,49,25
PersonalField59,94,0.942106,0.000188,147,0.94215709,23,0.942132,0.005564,0,7
GeographicField46B,255,0.942005,0.000205,115,0.942254706,25,0.942130,0.005565,2,25
GeographicField64,289,0.942088,3.10E-05,103,0.942170751,24,0.942129,0.005566,0,4
GeographicField33A,228,0.942126,0.000127,133,0.942131365,25,0.942129,0.005567,15,25
GeographicField33B,229,0.942112,8.90E-05,114,0.942136296,25,0.942124,0.005571,15,25
PersonalField51,86,0.942094,3.20E-05,128,0.942153126,23,0.942124,0.005572,0,7
GeographicField1B,166,0.942092,0.000124,131,0.942143551,24,0.942118,0.005577,2,25
GeographicField36B,235,0.942132,9.70E-05,128,0.942101321,26,0.942117,0.005579,13,25
GeographicField46A,254,0.941981,0.000253,112,0.942248248,24,0.942115,0.005581,2,25
GeographicField30A,222,0.942164,0.000112,128,0.942063744,25,0.942114,0.005581,49,25
PersonalField6,43,0.942087,0.000108,125,0.942130002,24,0.942109,0.005587,0,2
PropertyField28,153,0.942109,0.00017,119,0.942103907,22,0.942106,0.005589,0,4
PersonalField53,88,0.942051,7.00E-06,140,0.942161217,23,0.942106,0.005589,0,7
PersonalField5,42,0.942159,0.000111,128,0.942048236,24,0.942104,0.005592,0,9
GeographicField55A,272,0.942031,0.000189,105,0.942175796,24,0.942103,0.005592,1553,25
GeographicField18B,199,0.941983,0.000252,115,0.942223694,25,0.942103,0.005592,2,24
PropertyField31,156,0.942041,3.70E-05,131,0.942165588,24,0.942103,0.005592,0,4
GeographicField38A,238,0.942145,3.90E-05,114,0.942055067,25,0.942100,0.005595,22,25
PersonalField72,107,0.942054,3.40E-05,128,0.942139323,23,0.942097,0.005599,0,8
PersonalField40,75,0.942074,1.20E-05,131,0.942117529,23,0.942096,0.005599,0,10
PersonalField4A,40,0.942047,0.000134,107,0.942142494,25,0.942095,0.005600,24526,25
Field12,6,0.942079,3.10E-05,123,0.942105179,23,0.942092,0.005603,0,2
PropertyField26A,150,0.942028,0.00015,79,0.942154574,24,0.942091,0.005604,60,25
GeographicField5A,173,0.94213,6.20E-05,148,0.942049148,24,0.942090,0.005606,254208,1
PersonalField49,84,0.942037,2.50E-05,142,0.942138952,23,0.942088,0.005607,0,7
GeographicField1A,165,0.941986,3.30E-05,119,0.94218546,25,0.942086,0.005609,2,25
PersonalField73,108,0.942029,1.10E-05,142,0.942135707,23,0.942082,0.005613,0,7
PropertyField30,155,0.942114,1.00E-06,131,0.942050537,22,0.942082,0.005613,0,2
PropertyField26B,151,0.942005,0.000166,87,0.942154521,25,0.942080,0.005615,60,25
PersonalField38,73,0.942069,3.90E-05,119,0.94208871,22,0.942079,0.005616,0,6
PropertyField22,145,0.942058,1.90E-05,127,0.942088302,23,0.942073,0.005622,0,5
GeographicField18A,198,0.942088,7.10E-05,113,0.942056912,23,0.942072,0.005623,254135,1
GeographicField61A,284,0.94201,2.30E-05,127,0.942134552,23,0.942072,0.005623,254170,1
GeographicField38B,239,0.942006,2.50E-05,112,0.942136957,25,0.942071,0.005624,22,25
GeographicField56A,274,0.942012,7.90E-05,128,0.94213028,23,0.942071,0.005624,254153,1
GeographicField63,288,0.942086,2.30E-05,123,0.942050501,24,0.942068,0.005627,0,3
PersonalField71,106,0.942029,1.10E-05,142,0.942105252,23,0.942067,0.005628,0,7
PersonalField39,74,0.94204,4.90E-05,125,0.942092896,22,0.942066,0.005629,0,9
PropertyField3,124,0.942092,1.50E-05,112,0.942040315,23,0.942066,0.005629,0,3
SalesField9,32,0.942071,1.60E-05,126,0.942059502,23,0.942065,0.005630,0,2
PersonalField67,102,0.94203,1.70E-05,127,0.942096512,23,0.942063,0.005632,0,3
GeographicField60A,282,0.94201,2.40E-05,149,0.942106343,24,0.942058,0.005637,254239,1
PersonalField65,100,0.942029,1.10E-05,142,0.942086122,23,0.942058,0.005638,0,3
PersonalField36,71,0.942013,7.00E-05,133,0.942100765,23,0.942057,0.005638,0,6
PropertyField2A,122,0.942026,5.80E-05,128,0.942084791,23,0.942055,0.005640,254151,1
GeographicField44A,250,0.942079,0.000126,103,0.94202947,24,0.942054,0.005641,2,25
PropertyField10,130,0.942055,2.10E-05,125,0.942051612,23,0.942053,0.005642,0,5
Field9,3,0.94196,5.10E-05,131,0.942144805,23,0.942052,0.005643,0,5
GeographicField14A,190,0.942033,2.00E-05,127,0.942071234,23,0.942052,0.005643,253814,1
PersonalField7,44,0.942045,8.10E-05,112,0.942055736,23,0.942050,0.005645,0,3
GeographicField62A,286,0.942022,2.20E-05,126,0.942078505,24,0.942050,0.005645,254144,1
PersonalField34,69,0.942022,3.00E-05,125,0.942078423,23,0.942050,0.005645,0,7
PersonalField37,72,0.942033,5.10E-05,137,0.942064717,23,0.942049,0.005646,0,6
PersonalField68,103,0.942059,5.20E-05,126,0.942037548,23,0.942048,0.005647,0,4
GeographicField22A,206,0.942039,3.90E-05,127,0.942056205,24,0.942048,0.005648,254158,1
PropertyField4,125,0.942074,4.30E-05,128,0.942011956,23,0.942043,0.005652,0,3
PersonalField66,101,0.942047,4.40E-05,128,0.942031192,23,0.942039,0.005656,0,3
GeographicField56B,275,0.941896,9.30E-05,103,0.942181554,24,0.942039,0.005656,1553,24
PersonalField35,70,0.942034,2.10E-05,126,0.94204069,23,0.942037,0.005658,0,6
GeographicField19B,201,0.941864,0.000118,119,0.942209114,25,0.942037,0.005659,2,25
PropertyField36,161,0.942025,1.80E-05,122,0.942040211,23,0.942033,0.005663,0,3
PersonalField8,45,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,3
PersonalField64,99,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,3
PersonalField69,104,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,6
PersonalField70,105,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,7
PropertyField5,126,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,2
PropertyField9,129,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,3
PropertyField20,142,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,0,3
PropertyField29,154,0.942029,1.10E-05,142,0.942034166,23,0.942032,0.005664,200685,2
GeographicField10B,183,0.942029,1.10E-05,142,0.942034166,24,0.942032,0.005664,2,1
GeographicField34B,231,0.942009,0.000196,112,0.942043562,25,0.942026,0.005669,12,25
SalesField15,38,0.941947,0.000116,130,0.942103761,23,0.942025,0.005670,0,12
SalesField13,36,0.941945,7.70E-05,150,0.942100381,24,0.942023,0.005673,0,8
SalesField14,37,0.941896,0.000112,132,0.942145006,23,0.942021,0.005675,0,12
GeographicField21A,204,0.942012,4.00E-06,120,0.942028938,24,0.942020,0.005675,254285,1
GeographicField17A,196,0.94201,0.000244,114,0.942013992,23,0.942012,0.005683,2,25
PropertyField38,162,0.941989,1.50E-05,145,0.942028171,24,0.942009,0.005687,0,3
month,291,0.941899,0.000102,115,0.942116078,23,0.942008,0.005688,0,12
PropertyField15,136,0.941913,6.40E-05,145,0.942098313,25,0.942006,0.005690,0,15
GeographicField36A,234,0.942082,0.000148,132,0.941928972,25,0.942005,0.005690,13,25
GeographicField34A,230,0.941996,0.000186,112,0.942012125,25,0.942004,0.005691,12,25
GeographicField32B,227,0.941969,3.10E-05,112,0.942024809,25,0.941997,0.005698,16,25
GeographicField23A,208,0.941998,7.30E-05,128,0.941993434,23,0.941996,0.005699,254096,1
GeographicField62B,287,0.942009,0.000126,113,0.941977409,24,0.941993,0.005702,22,18
GeographicField32A,226,0.94194,3.20E-05,124,0.942041041,25,0.941991,0.005705,16,25
GeographicField42A,246,0.94199,4.10E-05,131,0.941986405,25,0.941988,0.005707,2,25
GeographicField28B,219,0.941896,0.00023,113,0.942061794,25,0.941979,0.005716,5,25
GeographicField37A,236,0.941927,0.000111,114,0.942020286,25,0.941974,0.005722,3101,25
GeographicField28A,218,0.941796,0.000134,119,0.942096825,25,0.941946,0.005749,5,25
GeographicField35B,233,0.941806,0.00012,115,0.942085104,25,0.941946,0.005750,23,25
GeographicField35A,232,0.941813,0.000128,112,0.942074024,25,0.941944,0.005752,23,25
PropertyField12,133,0.941916,8.10E-05,128,0.941961072,24,0.941939,0.005757,0,7
GeographicField4B,172,0.941852,3.30E-05,111,0.942000835,24,0.941926,0.005769,0,25
GeographicField58B,279,0.941831,6.20E-05,126,0.942010731,26,0.941921,0.005774,11,25
GeographicField58A,278,0.941809,0.000129,112,0.942023321,24,0.941916,0.005779,11,25
GeographicField42B,247,0.94188,7.90E-05,132,0.941947515,25,0.941914,0.005781,2,25
GeographicField37B,237,0.941763,2.70E-05,107,0.942061429,25,0.941912,0.005783,3101,25
