"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"CoverageField11A",21,0.947878,0.00021,78,0.947853921219552,26,0.947865960609776,0.00340315805682945,765,25
"GeographicField38A",237,0.947987,0.000199,79,0.947741794898442,25,0.947864397449221,0.00340472121738467,22,25
"PersonalField60",94,0.947911,0.00014,136,0.947816595969814,25,0.947863797984907,0.00340532068169874,0,7
"PropertyField8",127,0.947883,0.000193,96,0.947832536154566,24,0.947857768077283,0.00341135058932274,0,2
"GeographicField2B",167,0.947746,0.000313,76,0.94796852898863,25,0.947857264494315,0.00341185417229062,1260,25
"GeographicField44A",249,0.947998,0.000334,78,0.947713532303089,25,0.947855766151545,0.00341335251506081,2,25
"GeographicField1B",165,0.947924,0.00025,76,0.947778959165424,25,0.947851479582712,0.00341763908389359,2,25
"CoverageField3A",11,0.947858,0.000112,106,0.947840795244728,26,0.947849397622364,0.00341972104424171,0,25
"PersonalField43",77,0.947883,0.00016,109,0.94781410796686,24,0.94784855398343,0.00342056468317564,0,7
"PersonalField59",93,0.947893,0.000154,97,0.947803093468855,24,0.947848046734427,0.00342107193217833,0,7
"GeographicField9A",180,0.947893,0.000256,79,0.947802255008967,25,0.947847627504484,0.00342149116212198,2,25
"PersonalField53",87,0.9479,0.000181,93,0.947791888876242,24,0.947845944438121,0.0034231742284847,0,7
"GeographicField1A",164,0.947866,0.00024,85,0.947815759630657,25,0.947840879815329,0.00342823885127697,2,25
"PersonalField52",86,0.94793,0.000249,137,0.947750004633412,25,0.947840002316706,0.00342911634989984,0,7
"GeographicField9B",181,0.947926,0.000177,76,0.947752100108352,25,0.947839050054176,0.00343006861242956,2,25
"GeographicField38B",238,0.947912,0.000184,80,0.947759184120792,24,0.947835592060396,0.00343352660620977,22,25
"PropertyField14",134,0.947896,0.000313,79,0.947769247952965,24,0.947832623976482,0.0034364946901233,0,4
"GeographicField5A",172,0.947966,0.000247,78,0.94769612187343,24,0.947831060936715,0.00343805772989048,254208,1
"PropertyField28",152,0.947901,0.000196,94,0.947760912902077,24,0.947830956451039,0.00343816221556703,0,4
"GeographicField55B",272,0.947802,0.000272,89,0.947858578537441,25,0.94783028926872,0.00343882939788509,1553,25
"GeographicField34B",230,0.947933,0.000389,71,0.947724427654576,25,0.947828713827288,0.00344040483931773,12,25
"CoverageField2A",9,0.94789,0.000177,76,0.947765375498309,25,0.947827687749154,0.00344143091745108,0,25
"PersonalField50",84,0.947856,0.000198,98,0.94779649587497,24,0.947826247937485,0.00344287072912075,0,7
"PersonalField51",85,0.947895,0.000178,76,0.947756472091535,23,0.947825736045768,0.00344338262083776,0,7
"GeographicField35B",232,0.947832,0.000188,77,0.94781654912094,24,0.94782427456047,0.00344484410613566,23,25
"PersonalField4A",39,0.94791,0.000201,78,0.947732327762832,25,0.947821163881416,0.00344795478518978,24526,25
